/home/am3-peichenzhong-group/miniconda3/envs/mpid84/lib/python3.11/site-packages/mdtraj/formats/netcdf.py:154: UserWarning: Warning: The 'netCDF4' Python package is not installed. MDTraj is using the 'scipy' implementation to read and write netCDF files,which can be significantly slower.
For improved performance, consider installing netCDF4. See installation instructions at:
https://unidata.github.io/netcdf4-python/#quick-install
  warnings.warn(warning_message)
<openmm.openmm.HarmonicBondForce; proxy of <Swig Object of type 'OpenMM::HarmonicBondForce *' at 0x7cca2fca37b0> >
<openmm.openmm.PeriodicTorsionForce; proxy of <Swig Object of type 'OpenMM::PeriodicTorsionForce *' at 0x7cca2fca36b0> >
<openmm.openmm.NonbondedForce; proxy of <Swig Object of type 'OpenMM::NonbondedForce *' at 0x7cca2fca35b0> >
<openmm.openmm.Force; proxy of <Swig Object of type 'OpenMM::Force *' at 0x7cca2fca3470> >
<openmm.openmm.CMMotionRemover; proxy of <Swig Object of type 'OpenMM::CMMotionRemover *' at 0x7cca2fca3370> >
<openmm.openmm.HarmonicAngleForce; proxy of <Swig Object of type 'OpenMM::HarmonicAngleForce *' at 0x7cca2fca32b0> >
<openmm.openmm.MonteCarloBarostat; proxy of <Swig Object of type 'OpenMM::MonteCarloBarostat *' at 0x7cca2fca31f0> >
Running on  CUDA  Device ID: 0
#"Step","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
311500,-50050.81635048951,-39612.38320506621,302.04617763890565,45.20418558448624,0.9163275324031394,0
312000,-49563.47243299397,-39287.58930995752,297.34263523430684,45.52500430468538,0.9098700914710895,175
312500,-50266.66807873742,-39577.65745102645,309.29687989210294,45.13311474753905,0.9177704677070716,175
313000,-49876.17510186388,-39683.15714579767,294.9448513337849,45.313676630730164,0.9141134180852362,175
313500,-50151.633681801,-39722.851056250576,301.7669304952757,44.83660297710171,0.9238398335413632,175
314000,-49778.948880933254,-39718.16332789649,291.1185786222945,45.41725402504684,0.912028715080009,183
314500,-49798.84571493187,-39835.01594016668,288.3130692303246,45.52813144931463,0.9098075961461273,183
315000,-50175.50989336588,-39814.91803697597,299.7937645144961,45.200435027219434,0.9164035657174949,182
315500,-49564.789571375266,-39530.98375922257,290.3378936771318,45.598423289995445,0.9084050904017559,181
316000,-49892.02380035518,-39596.43555496796,297.91282204328843,45.636115066362606,0.9076548205449018,180
316500,-49954.27060217787,-39658.40083739512,297.92096807978317,45.441136596124934,0.9115493786847344,180
317000,-49515.93548473024,-39327.906568330465,294.800488636784,45.07300603428169,0.9189943932166663,179
317500,-49663.44013586985,-39056.73483919805,306.91529538671335,45.78556755861858,0.9046920686937882,183
318000,-49284.805620598025,-38607.061538011534,308.9708714919306,45.846007555298385,0.9034993893626131,182
318500,-49560.47086857597,-38856.94670521118,309.71684310949286,45.57332902645351,0.9089052899094141,182
319000,-49305.29841818721,-39178.99576085965,293.0143795193553,45.561796183952275,0.909135356817109,181
319500,-50127.83843932002,-39787.67459013105,299.20266033191785,44.967538033527134,0.9211498259042407,181
320000,-50162.19493462189,-39737.43476997205,301.65053669145493,44.90268378669696,0.9224802692795309,180
320500,-49969.75706672488,-39850.35784119296,292.8146220310988,45.55992189888854,0.9091727576454943,180
321000,-50066.37119693087,-39803.28715361118,296.97228146072007,45.422477259634874,0.9119238388113137,182
321500,-49612.37984662747,-39164.56880038868,302.3175362859488,45.92036726100902,0.9020363359788962,182
322000,-49767.390993203626,-39412.658813904156,299.6242090800062,45.50163804178252,0.910337333194239,181
322500,-49879.63770604363,-39446.65841455945,301.88836509053124,45.32413973713011,0.9139023944229996,181
323000,-49337.022497614744,-38953.35895641493,300.46136607034634,46.04180888161415,0.8996570907418626,181
323500,-49446.5263744094,-38940.029616664986,304.01566421332524,45.90538846932235,0.9023306677517222,181
324000,-49681.62175881943,-39374.141047925536,298.25694205622045,46.013428531263514,0.9002119849161435,181
324500,-49376.619587795816,-39093.32844603203,297.556993434364,45.96520852172399,0.9011563563635121,182
325000,-49600.45332535449,-39281.99690086536,298.574534964286,45.95467984033228,0.9013628203883561,182
325500,-49665.17926765864,-39360.384608775676,298.1792185385683,45.52728431152648,0.9098245251680597,181
326000,-49631.013299474245,-39250.8545941757,300.35995024744625,45.97470727368557,0.9009701700620584,181
326500,-49487.586315069355,-38867.5248961141,307.30176772672775,45.52784898346933,0.9098132408136755,181
327000,-49607.589930940056,-39309.18382453249,297.99435958234784,45.78893685869931,0.9046254984855849,181
327500,-49483.18470020879,-39351.97274553585,293.15643479502796,46.02690327426654,0.8999484406782724,180
328000,-49435.292190403656,-39206.94998988766,295.96699257523346,46.195586705684626,0.8966622741437906,182
328500,-50222.00033593674,-39928.200662320865,297.8610679860041,45.70018105166334,0.9063824010696827,181
329000,-50183.789370420935,-39975.147174490834,295.39695385373733,45.08650799208626,0.9187191839784163,181
329500,-49797.07342777875,-39665.940171784154,293.15415757251327,44.85771796092992,0.9234049727407745,181
330000,-49955.572603060275,-39521.92696099667,301.90764659022375,44.59491720333014,0.9288466585118504,181
330500,-49656.34305340576,-39324.67332719754,298.956874652881,45.37539656501514,0.912870034569846,180
331000,-49991.80588233059,-39551.17989795592,302.1096295587687,45.672607228030806,0.906929609341502,181
