Running on  CUDA  Device ID: 0
initial energy =  -2333.4366592543743 kJ/mol
elec lambda = 0.00, energy =  -2368.051429108544 kJ/mol
elec lambda = 0.10, energy =  -2367.9440533911297 kJ/mol
elec lambda = 0.20, energy =  -2367.091078769076 kJ/mol
elec lambda = 0.30, energy =  -2365.492900818425 kJ/mol
elec lambda = 0.40, energy =  -2363.1493364556213 kJ/mol
elec lambda = 0.50, energy =  -2360.060515978975 kJ/mol
elec lambda = 0.60, energy =  -2356.2264284946828 kJ/mol
elec lambda = 0.70, energy =  -2351.6468879166155 kJ/mol
elec lambda = 0.80, energy =  -2346.322140195339 kJ/mol
elec lambda = 0.90, energy =  -2340.252020137517 kJ/mol
elec lambda = 1.00, energy =  -2333.436664549407 kJ/mol
vdw lambda = 0.00, energy =  -2413.6557113479307 kJ/mol
vdw lambda = 0.10, energy =  -2414.388255299552 kJ/mol
vdw lambda = 0.20, energy =  -2415.1918667751606 kJ/mol
vdw lambda = 0.30, energy =  -2416.2849644531807 kJ/mol
vdw lambda = 0.40, energy =  -2417.589162397512 kJ/mol
vdw lambda = 0.50, energy =  -2418.7420872963735 kJ/mol
vdw lambda = 0.60, energy =  -2418.823461992576 kJ/mol
vdw lambda = 0.70, energy =  -2415.8747091973 kJ/mol
vdw lambda = 0.80, energy =  -2406.104239241607 kJ/mol
vdw lambda = 0.90, energy =  -2382.616751241467 kJ/mol
vdw lambda = 1.00, energy =  -2333.4366215745163 kJ/mol
final energy =  -2333.436576095148 kJ/mol
