/home/am3-peichenzhong-group/Documents/project/test_MPID_DMFF/init_mpid_plugin/MPIDOpenmmPlugin-8.4/examples/waterbox/run.py:7: DeprecationWarning: mpidplugin is deprecated; use phyneoforceplugin instead.
  import mpidplugin
/home/am3-peichenzhong-group/miniconda3/envs/phyneo-plugin/lib/python3.11/site-packages/dmff/common/nblist.py:17: UserWarning: WARNING: dpdpnblist not installed, users need to create neighbor list by themselves.
  warnings.warn("WARNING: dpdpnblist not installed, users need to create neighbor list by themselves.")
/home/am3-peichenzhong-group/miniconda3/envs/phyneo-plugin/lib/python3.11/site-packages/dmff/operators/parmed.py:12: UserWarning: Parmed is not installed. Parmed optimization cannot be used.
  warnings.warn("Parmed is not installed. Parmed optimization cannot be used.")
<openmm.openmm.HarmonicBondForce; proxy of <Swig Object of type 'OpenMM::HarmonicBondForce *' at 0x7b243cce06f0> >
<openmm.openmm.NonbondedForce; proxy of <Swig Object of type 'OpenMM::NonbondedForce *' at 0x7b243cce07b0> >
<openmm.openmm.Force; proxy of <Swig Object of type 'OpenMM::Force *' at 0x7b243cce08b0> >
<openmm.openmm.CMMotionRemover; proxy of <Swig Object of type 'OpenMM::CMMotionRemover *' at 0x7b243cce09b0> >
<openmm.openmm.HarmonicAngleForce; proxy of <Swig Object of type 'OpenMM::HarmonicAngleForce *' at 0x7b243cce0ab0> >
<openmm.openmm.MonteCarloBarostat; proxy of <Swig Object of type 'OpenMM::MonteCarloBarostat *' at 0x7b243cce0b70> >
Running on  CUDA  Device ID: 0
#"Progress (%)","Step","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
1.0%,500,-37243.77362348389,-31692.892065829466,223.54515235303293,0.9051743300343525,0
2.0%,1000,-35512.456213126134,-28949.025529652186,264.3225399166585,0.8640285925347247,166
3.0%,1500,-34146.605767015026,-27458.086438189523,269.3601109749327,0.8481934491090076,166
4.0%,2000,-33273.915511395026,-26316.519633199663,280.18830980583,0.8248456673796859,167
5.0%,2500,-32601.375798083092,-25557.36221706099,283.676578718391,0.8175220558182307,169
6.0%,3000,-31902.139379073302,-24719.559893315232,289.25690608863056,0.8015180220234478,169
7.0%,3500,-31832.183520813254,-24462.55790107899,296.78962968982063,0.803245406019919,169
8.0%,4000,-31381.183623609588,-23830.120535267844,304.0964810684955,0.7916248076278266,170
9.0%,4500,-30721.490638791543,-23377.493717106674,295.75751052990785,0.7813556096365994,171
10.0%,5000,-30750.247733535158,-23395.824735698912,296.1773895630841,0.7826197775787455,171
11.0%,5500,-31164.17761814842,-23563.695301143627,306.0866926927043,0.7950437124912385,171
12.0%,6000,-31486.741897573,-23915.975603209823,304.8899687598029,0.8020053892191504,171
13.0%,6500,-30861.269672197814,-23467.41131548149,297.7655306929893,0.7858920361596972,171
14.0%,7000,-31166.28845200164,-23687.616972392338,301.1811255461173,0.7895781351527579,171
15.0%,7500,-31311.216936696976,-23748.64901593689,304.5598037838231,0.8002607459664787,172
16.0%,8000,-31121.76853963408,-23655.69769844001,300.6736725217603,0.7934653066433872,172
17.0%,8500,-31357.578482627152,-23873.023678212347,301.41805885595807,0.7971655840647721,172
18.0%,9000,-31445.22283813847,-23940.2904285631,302.2387059555033,0.8113925747758696,172
19.0%,9500,-31631.099262211443,-24247.035898569546,297.3710666432024,0.8076525957488454,172
20.0%,10000,-31048.80472236125,-23737.609535134787,294.4365187827795,0.7881202580796233,172
21.0%,10500,-30923.253996616102,-23584.285953613296,295.5549874820873,0.7709214770827815,172
22.0%,11000,-31367.861828865804,-24051.864774338188,294.6298996262123,0.7626432733969933,172
23.0%,11500,-31504.291238224298,-24093.01632379304,298.466930462992,0.782667134390881,172
24.0%,12000,-31150.78046037642,-23761.575821310766,297.57811613362225,0.7896315057200831,173
25.0%,12500,-31057.42667338066,-23515.56158293481,303.72605921394427,0.7905713399012186,173
26.0%,13000,-31293.215728532825,-23910.84042047832,297.30308525330173,0.8011290760194042,173
27.0%,13500,-30903.183345089346,-23271.026111413397,307.3623052237012,0.7795153402031388,173
28.0%,14000,-30972.389025063472,-23273.20946314512,310.06142903356584,0.7708965743809444,173
29.0%,14500,-30753.522920207866,-23229.186823579068,303.020131416219,0.7555454876159124,173
30.0%,15000,-30750.95896691879,-23384.321211911352,296.66930237448696,0.7530060479820003,173
31.0%,15500,-30704.467823795694,-23372.69252307157,295.26532129990994,0.7387513068083391,173
32.0%,16000,-30980.157663427093,-23408.579146224754,304.92267860533633,0.7516527750164299,173
33.0%,16500,-31061.588790385682,-23631.70300142507,299.2164277705594,0.7495008888970576,173
34.0%,17000,-31115.64766225036,-23821.5018813746,293.7499049358419,0.7480167643110346,174
35.0%,17500,-30775.37634874313,-23494.61158987971,293.2110242961959,0.7322552579982834,174
36.0%,18000,-30664.770441943332,-23198.52434907853,300.6807302586312,0.7312953246232985,174
37.0%,18500,-30578.79205570218,-23107.673045462467,300.8769724312776,0.7122790851765471,174
38.0%,19000,-30576.09847293544,-23218.46538949685,296.306666159529,0.7041731908914014,174
39.0%,19500,-30375.957293828116,-22968.688653500925,298.30558975599627,0.6851398843779323,174
40.0%,20000,-30552.448066199144,-23053.065503683218,302.01520246447154,0.6829420656295198,174
41.0%,20500,-30591.016553687743,-23234.206679735697,296.27351385963277,0.6768819352155568,175
42.0%,21000,-30334.7657498167,-22709.618357778116,307.08000481780715,0.6595032662451721,175
43.0%,21500,-30107.81249364424,-22560.384744603733,303.9500786512381,0.6460579796059279,175
44.0%,22000,-30235.415188091778,-22707.853877500795,303.15001726210846,0.6298461328690136,175
45.0%,22500,-30266.969692699862,-22657.248926858447,306.45874358790695,0.624878597936032,175
46.0%,23000,-29967.699742864035,-22493.152685439003,301.01502677856587,0.6034658708586672,175
47.0%,23500,-30023.778994114014,-22564.531837474835,300.39886903557743,0.5930070140847885,175
48.0%,24000,-30094.4801318988,-22678.229821159657,298.66729966815524,0.583024893008232,176
49.0%,24500,-30118.05553628795,-22533.220329740478,305.4565521186828,0.5669163131907297,176
50.0%,25000,-29927.880665840974,-22335.986052453827,305.74084861485295,0.5475619565963684,176
51.0%,25500,-29831.422500216744,-22330.963326195226,302.0585597727733,0.5410067142549869,176
52.0%,26000,-30035.480903504365,-22618.141020138384,298.7111789468493,0.5356114419458131,176
53.0%,26500,-29866.995290719333,-22429.718136089577,299.51409291571576,0.5244484754497021,176
54.0%,27000,-29751.32214436507,-22367.10169393263,297.37739284385356,0.5207714332054881,176
55.0%,27500,-29684.39752434029,-22005.344521374347,309.25089206918847,0.5125977949128636,176
56.0%,28000,-29998.149309612792,-22474.17787956368,303.00544556042007,0.5023564502754034,176
57.0%,28500,-29687.743676832237,-22336.609613203906,296.0449375748817,0.4929470491533049,177
58.0%,29000,-29675.592459665335,-22282.772370017745,297.72371759219584,0.4840360233190277,177
59.0%,29500,-29575.17444479874,-22076.174418518458,301.99979696172574,0.47342565695239675,177
60.0%,30000,-29403.900367639362,-22065.60994489291,295.5276983529877,0.4679658540991063,177
61.0%,30500,-29665.14015805456,-22042.529896031912,306.9778294948318,0.4574033171380154,177
62.0%,31000,-29343.97290764505,-21755.285301804648,305.61169597789103,0.44972930549613727,177
63.0%,31500,-29440.994384639613,-22135.792236257024,294.1951670681922,0.4416084917096733,177
64.0%,32000,-29881.90926299323,-22202.71536932304,309.2565660209058,0.43691104043371376,177
65.0%,32500,-29970.717300974826,-22588.446602135657,297.2988724300344,0.42249770233863454,177
66.0%,33000,-29546.85673059797,-22219.830511735534,295.0740662321734,0.4179875647861686,177
67.0%,33500,-29710.563170913814,-22004.16026138779,310.3523277538293,0.4084399007008297,177
68.0%,34000,-29646.94478530227,-22212.592408518005,299.3963062358383,0.3988682079697651,177
69.0%,34500,-30117.009166399665,-22794.299884917044,294.90021449092353,0.3960569997523625,177
70.0%,35000,-30159.29588747117,-22787.505629953765,296.87680400222405,0.3889884182737076,178
71.0%,35500,-30220.787385058415,-22713.15934768846,302.34726430245576,0.38443380723644555,178
72.0%,36000,-30219.158234269442,-22814.24794686851,298.21061414559506,0.38199574580844503,178
73.0%,36500,-30199.60923085033,-22726.88078014503,300.9417878322812,0.37532933691431863,178
74.0%,37000,-29814.436439574103,-22282.853654232953,303.31197012966163,0.3682276948049455,178
75.0%,37500,-29879.234459782543,-22313.52486953438,304.6863251258947,0.36370649354201856,178
76.0%,38000,-29786.349262890755,-22419.529218804764,296.67664352190894,0.36080909307008924,178
77.0%,38500,-29563.54134963385,-22205.2404083817,296.33356213544425,0.354404092143236,178
78.0%,39000,-29568.882746604264,-22024.24869824125,303.8375707122572,0.3540803309166557,178
79.0%,39500,-29427.200079322203,-21981.092326846185,299.8697188321414,0.34876973742629935,178
80.0%,40000,-29732.88946668649,-22345.76615176347,297.49429702890376,0.3457332145161555,178
81.0%,40500,-30030.678917700938,-22604.78218122855,299.05578061263265,0.3393078156301702,178
82.0%,41000,-29552.98181211316,-22229.94786251428,294.9132895282415,0.3368747294096685,178
83.0%,41500,-29596.20345549884,-21997.06533648643,306.03255913898334,0.3318897894261684,178
84.0%,42000,-29666.044608417695,-22153.810978009766,302.53274078698445,0.32652928487021904,178
85.0%,42500,-30181.181890112566,-22453.89812034363,311.19324194660777,0.322173510067647,178
86.0%,43000,-30004.70463599783,-22403.64405370185,306.1099805977473,0.3160360304639143,178
87.0%,43500,-29795.72906935899,-22162.88918941721,307.38979676030016,0.3099980729896473,178
88.0%,44000,-29850.451925682686,-22468.48851727444,297.2864972270179,0.30789406512884104,179
89.0%,44500,-29720.171260841802,-22210.553956724194,302.4273760709298,0.30594898564273604,179
90.0%,45000,-30082.145706111347,-22562.124410745484,302.8463657006876,0.3019910134118613,179
91.0%,45500,-29887.88023281689,-22141.393841728517,311.96657008626374,0.2993272273517164,179
92.0%,46000,-29813.01901457528,-22144.668363413446,308.8198868604236,0.29460245713560285,179
93.0%,46500,-29844.06492981612,-22487.457696828125,296.2653531008936,0.2914989581528975,179
94.0%,47000,-29997.608086620476,-22655.682162814803,295.6741072845639,0.2874947793302673,179
95.0%,47500,-29959.50107143116,-22864.49379290877,285.73019736587,0.2856646729216027,179
96.0%,48000,-29962.01953980595,-22425.668395975314,303.50400150592765,0.28173187067420524,179
97.0%,48500,-29767.122797827917,-22301.786345564033,300.64409720411413,0.279520402283631,179
98.0%,49000,-29652.95603667234,-22384.28581141655,292.7239531292337,0.2782596910134211,179
99.0%,49500,-29999.79515952089,-22688.110036662987,294.4562494749653,0.2737552484049033,179
100.0%,50000,-29933.469274156218,-22448.010382733435,301.4544682561297,0.2704630740627534,179
